InteractorA,InteractorB,Correlation,t-statistic,p-value
AFFX-BioDn-5_at,D42046_at,-0.82785381774887667,-8.8549370557258342,1.4414956484736012e-10
AFFX-BioDn-5_at,D88613_at,-0.83081671124181244,-8.9568501492245858,1.0822232604388901e-10
AFFX-BioDn-5_at,L07540_at,0.8051852983544685,8.1465800474581034,1.0951085270974193e-09
AFFX-BioDn-5_at,L33798_at,0.80326166055527626,8.0916001501632735,1.2849696747457123e-09
AFFX-BioDn-5_at,M80478_at,0.84632979194522562,9.5332591935914106,2.1927738790365364e-11
AFFX-BioDn-5_at,U00954_at,0.81593593943422427,8.4678382175353395,4.3331045446318484e-10
AFFX-BioDn-5_at,U03398_at,-0.8252983785722573,-8.7689347881719062,1.8378629674205114e-10
AFFX-BioDn-5_at,U55764_at,-0.81282871603450391,-8.3724447982183179,5.699132256182278e-10
AFFX-BioDn-5_at,X97674_at,0.80457612018051816,8.1290907203415745,1.1522019020254915e-09
AFFX-BioDn-5_at,M62782_s_at,0.81311739677641603,8.3812173495226858,5.5570542645514338e-10
AFFX-BioDn-5_at,X90846_at,-0.85046816611449028,-9.7006687207230549,1.3903274912585465e-11
AFFX-CreX-5_at,HG2229-HT2306_at,0.81491058002366235,8.4361208648519952,4.7458718292945503e-10
AFFX-BioB-3_st,D83195_at,0.87955106591429144,11.091333505293022,3.6362510949791325e-13
AFFX-BioB-3_st,HG2566-HT4867_at,-0.83063038535098321,-8.9503698425601943,1.1020879675437264e-10
AFFX-BioB-3_st,HG4114-HT4384_at,-0.81257406271347199,-8.3647213814482324,5.8272668232859584e-10
AFFX-BioB-3_st,HG4316-HT4586_at,0.83440359697969779,9.0835272165666758,7.592119692434603e-11
AFFX-BioB-3_st,HG4332-HT4602_at,-0.8036695622358192,-8.1031982642413407,1.2423179200044367e-09
AFFX-BioB-3_st,L04947_at,0.85244712925495147,9.7829979025420766,1.1127189906731762e-11
AFFX-BioB-3_st,L06147_at,0.81945585836759105,8.578559197558258,3.1569357776115848e-10
AFFX-BioB-3_st,L29217_at,0.84953870485056915,9.6625178772782441,1.5419557391822521e-11
AFFX-BioB-3_st,L33404_at,0.82852484903466384,8.8778082059515313,1.3515269842774855e-10
AFFX-BioB-3_st,L76380_at,-0.82119378725013337,-8.634307731397616,2.6931636771430151e-10
AFFX-BioB-3_st,M31682_at,0.80505381141745169,8.142798909393715,1.1072039790964712e-09
AFFX-BioB-3_st,U00954_at,0.85765009495389077,10.006929553734082,6.0984843601530315e-12
AFFX-BioB-3_st,U07349_at,0.82767246895949054,8.8487768251393248,1.4667523684527131e-10
AFFX-BioB-3_st,U33447_at,0.82996675544305842,8.927367769970159,1.1756390899434338e-10
AFFX-BioB-3_st,U39905_at,-0.81430625923030953,-8.4175381126448698,5.0060222742979889e-10
AFFX-BioB-3_st,U44755_at,-0.79846898153230705,-7.9576873877660361,1.8995025218715805e-09
AFFX-BioB-3_st,U48213_at,0.83673594194835688,9.1679243095757528,6.001847693086238e-11
AFFX-BioB-3_st,U52111_rna4_at,0.80100699042173329,8.0280662390813475,1.5463878757609137e-09
AFFX-BioB-3_st,U52112_rna5_at,-0.80684308434004948,-8.1945475835905146,9.5279874546270927e-10
AFFX-BioB-3_st,U52840_at,0.80405326461296378,8.114137743623532,1.2034035027175738e-09
AFFX-BioB-3_st,U60276_at,0.81257527084132708,8.3647579896040991,5.8266526371334239e-10
AFFX-BioB-3_st,U82320_at,0.83343666684318063,9.0490126597035161,8.3602995362133473e-11
AFFX-BioB-3_st,U82468_at,0.86378865662046811,10.286171873195483,2.9076011221638712e-12
AFFX-BioB-3_st,X13444_at,-0.82653534263434281,-8.8103495181622797,1.6347796281846377e-10
AFFX-BioB-3_st,X79981_at,-0.81843052859699827,-8.5460080901953859,3.4644344258788616e-10
AFFX-BioB-3_st,X85178_at,0.8356582352414732,9.128723673339012,6.6934336790929271e-11
AFFX-BioB-3_st,X95190_at,0.89987681105400452,12.379532754077651,1.551049167360653e-14
AFFX-BioB-3_st,X98261_at,-0.80029103996554374,-8.0080922958916467,1.6392449011820373e-09
AFFX-BioB-3_st,Y10376_at,-0.83997271728760881,-9.2878185739912418,4.3048052278801726e-11
AFFX-BioB-3_st,Z83803_at,0.81043330968913274,8.3003470924318137,7.0156566762030915e-10
AFFX-BioB-3_st,Z84718_cds1_at,0.8081372394127414,8.2323785096519373,8.5389164103516215e-10
AFFX-BioB-3_st,M19828_s_at,0.81493911483597237,8.437000324926661,4.733905365219609e-10
AFFX-BioB-3_st,HG3327-HT3504_s_at,0.89882754898457906,12.304209800287449,1.8547203786301063e-14
AFFX-BioB-3_st,X92518_s_at,-0.90694832368553235,-12.918206722640504,4.4044695561086939e-15
AFFX-BioB-3_st,X04445_rna1_s_at,0.79809989209732479,7.9475509262819921,1.9567007552546139e-09
AFFX-BioB-3_st,M20747_s_at,-0.82099462004639812,-8.6278818320879846,2.7428874961187187e-10
AFFX-BioB-3_st,U66726_at,0.85060918233344807,9.7064854637385647,1.3685800872337301e-11
AFFX-BioB-3_st,U80987_s_at,0.81175573446587879,8.3399974100039014,6.2574397764626542e-10
AFFX-BioB-3_st,X83535_s_at,0.81701883121794816,8.5015948436952531,3.9336843151060803e-10
AFFX-BioB-3_st,M55422_at,-0.86801553397295672,-10.48883119888365,1.7093789955806551e-12
AFFX-BioB-3_st,U57341_r_at,-0.84457205108774336,-9.4640186170099803,2.6503147634071954e-11
AFFX-BioB-3_st,HG2887-HT3031_at,0.81998860225279546,8.5955709610498054,3.0074044099251973e-10
AFFX-BioB-3_st,J00212_f_at,-0.80132801579532209,-8.0370535250829978,1.5063629922200968e-09
hum_alu_at,L06499_at,0.9430787704223158,17.014409422003332,8.5620756169894236e-19
hum_alu_at,M17886_at,0.79880595737429327,7.9669635159017052,1.8486439387640091e-09
hum_alu_at,U14973_at,0.88932839437256095,11.66921328780068,8.6084208119867071e-14
hum_alu_at,X80822_at,0.81449954100387478,8.4234726223191565,4.921405884578159e-10
hum_alu_at,Z12962_at,0.94819096145517046,17.907235001687518,1.6416108565830805e-19
hum_alu_at,Z70759_at,0.90746062662765525,12.959491849029204,4.0050306275180024e-15
hum_alu_at,J04617_s_at,0.92518661228271282,14.62697480048721,1.0110654272533507e-16
AFFX-ThrX-3_at,D29954_at,-0.80118159999542349,-8.0329521305261959,1.5244966794884638e-09
AFFX-ThrX-3_at,M88163_at,-0.80218755432043676,-8.0612125219211297,1.4038954188992033e-09
AFFX-ThrX-3_at,U81600_at,-0.80337976197873984,-8.0949548912261129,1.2724823479774088e-09
AFFX-ThrX-3_at,U82311_at,-0.80735885024349829,-8.2095836974144127,9.1216676789954415e-10
