InteractorA,InteractorB,Correlation,t-statistic,p-value,Bonferroni-adjusted p-value
AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_MA_at,0.810613751411438,0.818331884167616,1.19565424228085e-09,0.0205536742515484
AFFX-HUMISGF3A/M97935_5_at,AFFX-HUMISGF3A/M97935_MB_at,0.815146088600159,0.822995669549989,8.13345391037501e-10,0.0139816642890782
AFFX-HUMISGF3A/M97935_MA_at,AFFX-HUMISGF3A/M97935_MB_at,0.932118237018585,0.943907704483411,0,0
AFFX-HUMISGF3A/M97935_MB_at,AFFX-HUMISGF3A/M97935_3_at,0.887334525585175,0.897486913203986,2.56683563293336e-13,4.41247156501845e-06
AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_M_at,0.94243711233139,0.954627641870378,0,0
AFFX-HUMRGE/M10098_5_at,AFFX-HUMRGE/M10098_3_at,0.87580817937851,0.885565711282926,1.28341781646668e-12,2.20623578250922e-05
AFFX-HUMGAPDH/M33197_5_at,AFFX-HUMGAPDH/M33197_M_at,0.836618840694427,0.845111801750938,1.12393871987138e-10,0.00193208617592244
AFFX-HUMGAPDH/M33197_5_at,AFFX-HUMGAPDH/M33197_3_at,0.802109897136688,0.809585429498764,2.39813013891421e-09,0.0412246148970592
AFFX-HUMGAPDH/M33197_M_at,AFFX-HUMGAPDH/M33197_3_at,0.854387879371643,0.863439501571664,1.73927539037777e-11,0.000298986935716172
AFFX-HSAC07/X00351_5_at,AFFX-HSAC07/X00351_M_at,0.862088620662689,0.871389892869827,7.16626757935046e-12,0.000123190404229589
AFFX-HUMTFRR/M11507_5_at,AFFX-HUMTFRR/M11507_M_at,0.906679093837738,0.917518282773146,1.11022302462516e-14,1.90850846237822e-07
AFFX-HUMTFRR/M11507_5_at,AFFX-HUMTFRR/M11507_3_at,0.881188333034515,0.891128850504099,6.18172180111287e-13,1.06265751185219e-05
AFFX-HUMTFRR/M11507_M_at,AFFX-HUMTFRR/M11507_3_at,0.95862889289856,0.971467277706532,0,0
AFFX-HUMRGE/M10098_5_at,AFFX-M27830_5_at,0.844843447208405,0.853591996845565,4.87756501854619e-11,0.000838468839793549
AFFX-M27830_5_at,AFFX-M27830_M_at,0.820918560028076,0.828937737201396,4.90296692134962e-10,0.00842835507155471
AFFX-HUMGAPDH/M33197_5_st,AFFX-HUMGAPDH/M33197_M_st,0.812556803226471,0.820331105150678,1.01489128212506e-09,0.017446301845375
AFFX-HUMTFRR/M11507_5_at,AB000584_at,0.800843954086304,0.808283818077328,2.65233746077342e-09,0.0455945190893328
AFFX-HUMTFRR/M11507_M_at,AB000584_at,0.860662579536438,0.869917273518534,8.4785511944574e-12,0.0001457489742549
AFFX-HUMTFRR/M11507_3_at,AB000584_at,0.8936847448349,0.904059230435785,9.79216707719388e-14,1.68330446381759e-06
hum_alu_at,AC002115_cds1_at,-0.808391451835632,-0.81604568015517,1.438912100582e-09,0.0247353537052284
AFFX-LysX-M_at,AC002464_at,0.851401031017303,0.860357057342791,2.42019737584087e-11,0.000416039576730753
AF000231_at,AF007875_at,0.827971994876862,0.836201746461727,2.57635246470045e-10,0.00442883129955796
AF005037_at,AF015913_at,0.875156581401825,0.884892107903779,1.3988810110277e-12,2.40472066259656e-05
AF009301_at,AF015913_at,0.835308849811554,0.843761573945698,1.278337435906e-10,0.00219750244778538
AB002380_at,D00723_at,0.855082929134369,0.864156895497279,1.60889079836579e-11,0.000276573412334002
AF007875_at,D00723_at,0.839219093322754,0.847792305897313,8.67590443931476e-11,0.00149141538897624
AFFX-HUMTFRR/M11507_M_at,D00726_at,0.852400064468384,0.861387988972623,2.16875406522377e-11,0.000372815677074811
AFFX-HUMTFRR/M11507_3_at,D00726_at,0.806398093700409,0.813995306236281,1.69550506967653e-09,0.0291462679273415
AF000231_at,D00763_at,0.884846210479736,0.894912456397128,3.68594044175552e-13,6.3362480950957e-06
AF007875_at,D00763_at,0.867435455322266,0.876912783196014,3.75033337718378e-12,6.44694158591363e-05
AF000234_at,D10202_at,0.871647477149963,0.881265074200352,2.20712337295481e-12,3.79411482320791e-05
AF006084_at,D10202_at,0.815801024436951,0.823669724325437,7.68633823255982e-10,0.0132130583100585
D10202_at,D10495_at,0.842177510261536,0.850842650765607,6.42637054681927e-11,0.00110471340432916
AB000895_at,D11428_at,0.917133331298828,0.928356482303034,1.55431223447522e-15,2.67191184732951e-08
AF015913_at,D13370_at,0.875132203102112,0.884866906967166,1.4033219031262e-12,2.41235469644607e-05
D00763_at,D13370_at,0.826649069786072,0.834839044946932,2.91318746903357e-10,0.00500786131599273
AF015913_at,D13435_at,0.822361886501312,0.83042385278141,4.3079717571004e-10,0.00740553958236312
AF007875_at,D13627_at,0.835425138473511,0.843881429233695,1.26386900944908e-10,0.00217263076550367
D00763_at,D13627_at,0.846105754375458,0.854893986715464,4.27282653703287e-11,0.000734512383847807
AF007875_at,D13630_at,0.843473613262177,0.85217923735955,5.6236348910943e-11,0.000966720608465366
AB000895_at,D13635_at,0.837860882282257,0.84639211270428,9.93769511126175e-11,0.00170832119274245
D11428_at,D13635_at,0.917784750461578,0.929032127692564,1.33226762955019e-15,2.29021015485387e-08
AF000231_at,D13636_at,0.924360513687134,0.935854434517186,4.44089209850063e-16,7.63403384951289e-09
AF007875_at,D13636_at,0.825342535972595,0.833493355408713,3.28573834806889e-10,0.00564828804966222
D00763_at,D13636_at,0.854588806629181,0.863646884319279,1.70061742466032e-11,0.000292341509250171
AF007875_at,D13641_at,0.801457643508911,0.808914784004908,2.52613308049376e-09,0.0434250259117412
D11428_at,D13641_at,0.851617217063904,0.860580139491777,2.36359820604548e-11,0.000406310000589549
D13635_at,D13641_at,0.846521735191345,0.855323071220842,4.0893954889043e-11,0.000702980007032394
D13636_at,D13641_at,0.799963057041168,0.807378169452879,2.84375989423324e-09,0.048885131209996
AFFX-ThrX-5_at,D13643_at,0.955672264099121,0.968390644854321,0,0
AF000231_at,D13645_at,0.801882326602936,0.80935143858565,2.44208919752964e-09,0.0419802850057209
AF015913_at,D13645_at,0.807662069797516,0.81529540224993,1.52829038313484e-09,0.0262717946258491
D11428_at,D13645_at,0.875076413154602,0.884809234585355,1.41353595495275e-12,2.42991297429995e-05
D13636_at,D13645_at,0.847438991069794,0.856269268039256,3.71054298398121e-11,0.0006378540642622
D13641_at,D13645_at,0.834695756435394,0.843129693548841,1.35719435689907e-10,0.00233305998685118
AF000231_at,D14043_at,0.851402997970581,0.860359087023561,2.41968667324954e-11,0.000415951785341484
D11428_at,D14043_at,0.855742514133453,0.864837719070702,1.4936496484097e-11,0.000256763094494517
D13636_at,D14043_at,0.856635928153992,0.865759954590572,1.34980915333927e-11,0.000232036458855944
D13641_at,D14043_at,0.827988624572754,0.83621887699319,2.5723601027039e-10,0.00442196830312724
D13645_at,D14043_at,0.851511180400848,0.860470719924071,2.39119835043766e-11,0.000411054552627022
AB002380_at,D14533_at,0.807641267776489,0.815274004843834,1.53091361809743e-09,0.0263168888637981
D00723_at,D14533_at,0.812517285346985,0.820290442155136,1.01829922272145e-09,0.0175048854211362
AF000231_at,D14658_at,0.875458300113678,0.885204011904959,1.34425803821614e-12,2.31082204624755e-05
AF007875_at,D14658_at,0.814526081085205,0.822357591697731,8.57891091499141e-10,0.0147474189564551
AF015913_at,D14658_at,0.801699280738831,0.80916323120901,2.47798981334313e-09,0.0425974279361494
D00763_at,D14658_at,0.921910107135773,0.933311730998337,4.44089209850063e-16,7.63403384951289e-09
D13370_at,D14658_at,0.832891702651978,0.841270522092706,1.61633373352288e-10,0.00277852876407181
D13627_at,D14658_at,0.809067368507385,0.816740995474655,1.36044819853964e-09,0.0233865344345272
D13636_at,D14658_at,0.853148579597473,0.862160453824103,1.9965806785649e-11,0.00034321852784025
AF007875_at,D14662_at,0.826987326145172,0.835187459263682,2.82336376500325e-10,0.00485345153033556
D00763_at,D14662_at,0.815835356712341,0.823705059699125,7.66354313341822e-10,0.0131738728143089
D13630_at,D14663_at,0.83692193031311,0.845424219324779,1.09078523991002e-10,0.0018750942962189
AB002559_at,D14664_at,0.831600427627563,0.839939945902777,1.829365547934e-10,0.00314473718484987
D00763_at,D14710_at,0.80938994884491,0.817072845497503,1.32442101730135e-09,0.0227672158044516
D13370_at,D14710_at,0.813518345355988,0.821320545212918,9.35165722637521e-10,0.0160757942845073
D14658_at,D14710_at,0.857154786586761,0.866295579735997,1.27231558622043e-11,0.000218715069788544
D14533_at,D14838_at,0.861330807209015,0.870607307528587,7.83773046464376e-12,0.000134733063410053
AF015913_at,D14878_at,0.817021369934082,0.824925778212132,6.91363410965096e-10,0.0118847555053279
D13370_at,D14878_at,0.848880708217621,0.85775660386724,3.18065573878812e-11,0.000546764772369812
AB000895_at,D16227_at,0.805529713630676,0.813102178048021,1.82007564575315e-09,0.0312876754944007
D11428_at,D16227_at,0.879077613353729,0.888946067903296,8.26450019530967e-13,1.42069369939435e-05
D13635_at,D16227_at,0.810815632343292,0.818539588197282,1.1755667550517e-09,0.0202083639984334
D00723_at,D16562_at,0.844754934310913,0.853500705959826,4.92283991349041e-11,0.000846251737303128
D14710_at,D16562_at,0.842875778675079,0.851562713621783,5.98150418085197e-11,0.00102823947024167
D10923_at,D16626_at,0.881161630153656,0.891101233728716,6.20392626160537e-13,1.06647452877695e-05
D00723_at,D17400_at,0.813866674900055,0.821678997780378,9.07751651624267e-10,0.0156045377409431
AB000895_at,D17461_at,0.844198524951935,0.852926847299396,5.21649390350376e-11,0.000896731786133032
D11428_at,D17461_at,0.910152018070221,0.921117754634959,5.77315972805081e-15,9.92424400436676e-08
D13635_at,D17461_at,0.846169233322144,0.854959464439194,4.24433821422099e-11,0.000729615151133345
D16227_at,D17461_at,0.915751159191132,0.926923024696446,1.99840144432528e-15,3.4353152322808e-08
AB003103_at,D21090_at,0.810471832752228,0.818185873752862,1.20996590524669e-09,0.0207996962604167
AB000895_at,D21260_at,0.877109229564667,0.88691080062416,1.0786926907258e-12,1.85430682204668e-05
AF000231_at,D21260_at,0.833068072795868,0.841452269936341,1.58909996272882e-10,0.00273171305148967
D11428_at,D21260_at,0.942233026027679,0.954415534839831,0,0
D13635_at,D21260_at,0.886834979057312,0.8969700331896,2.76223488526739e-13,4.74836905439702e-06
D13636_at,D21260_at,0.806403398513794,0.814000762400289,1.6947687697666e-09,0.029133610699219
D13641_at,D21260_at,0.800391435623169,0.807818577717625,2.74912315134657e-09,0.0472582956945633
D13645_at,D21260_at,0.851823508739471,0.860793015001795,2.31072938561283e-11,0.000397221683291704
D14043_at,D21260_at,0.834950804710388,0.843392553831844,1.32385435946958e-10,0.00227574747772596
D16227_at,D21260_at,0.823574483394623,0.831672517699873,3.86080944991818e-10,0.00663685344598797
D17461_at,D21260_at,0.861117422580719,0.870386955720867,8.03734856447136e-12,0.000138164561625409
AF000231_at,D21262_at,0.859866380691528,0.869095137608338,9.30566734780314e-12,0.000159967362299618
AF007875_at,D21262_at,0.852866053581238,0.861868882946623,2.06001882219198e-11,0.000354123745194279
D00763_at,D21262_at,0.932913422584534,0.944733472802788,0,0
D13370_at,D21262_at,0.830923616886139,0.839242585707554,1.95120808399452e-10,0.00335418835456203
